2.982273e+04	2.584213e-13	2.848035e-16	2.581365e-13
3.428889e+04	1.956241e-13	2.154434e-16	1.954087e-13
3.942389e+04	1.480614e-13	1.629751e-16	1.478985e-13
4.532790e+04	1.120483e-13	1.232847e-16	1.119250e-13
5.211607e+04	8.478633e-14	9.326033e-17	8.469307e-14
5.992081e+04	6.415258e-14	7.054802e-17	6.408204e-14
6.889438e+04	4.853757e-14	5.336699e-17	4.848420e-14
7.921179e+04	3.672175e-14	4.037017e-17	3.668138e-14
9.107431e+04	2.778144e-14	3.053855e-17	2.775090e-14
1.047133e+05	2.101723e-14	2.310130e-17	2.099413e-14
1.203949e+05	1.589968e-14	1.747528e-17	1.588220e-14
1.384249e+05	1.202804e-14	1.321941e-17	1.201482e-14
1.591549e+05	9.099073e-15	1.000000e-17	9.089073e-15


1.000000e-01	1.089069e-09	9.999605e-10	8.910891e-11	0
5.000000e+02	8.226024e-11	1.012186e-12	8.124805e-11	wH
-5.068411e+01	1.787747e-10	8.975429e-11	8.902041e-11	wN
5.506841e+02	8.058406e-11	8.345888e-13	7.974947e-11	wH-wN
4.493159e+02	8.390444e-11	1.253119e-12	8.265132e-11	wH+wN
