1.000000e-06	1.795185e+03	1.489359e-02	4.695032e-04	
6.723358e-07	1.206973e+03	2.215184e-02	6.983165e-04	
4.520354e-07	8.115004e+02	3.294699e-02	1.038642e-03	
3.039195e-07	5.456144e+02	4.900184e-02	1.544826e-03	
2.043360e-07	3.668564e+02	7.287663e-02	2.297698e-03	
1.373824e-07	2.466808e+02	1.083723e-01	3.417478e-03	
9.236709e-08	1.658972e+02	1.611189e-01	5.082967e-03	
6.210169e-08	1.116052e+02	2.394143e-01	7.560075e-03	
4.175319e-08	7.513499e+01	3.553516e-01	1.124421e-02	
2.807216e-08	5.066192e+01	5.261103e-01	1.672317e-02	
1.887392e-08	3.427585e+01	7.746670e-01	2.487019e-02	
1.268961e-08	2.335338e+01	1.127283e+00	3.698069e-02	
8.531679e-09	1.613051e+01	1.600609e+00	5.497029e-02	
5.736153e-09	1.140188e+01	2.166348e+00	8.165176e-02	
3.856620e-09	8.304628e+00	2.699443e+00	1.210898e-01	
2.592944e-09	6.198535e+00	2.994044e+00	1.789468e-01	
1.743329e-09	4.664492e+00	2.932550e+00	2.624360e-01	
1.172102e-09	3.505708e+00	2.604385e+00	3.786702e-01	
7.880463e-10	2.648677e+00	2.188575e+00	5.285618e-01	
5.298317e-10	2.042610e+00	1.811843e+00	6.933120e-01	
3.562248e-10	1.615589e+00	1.503947e+00	8.224640e-01	
2.395027e-10	1.284198e+00	1.232212e+00	8.564174e-01	
1.610262e-10	9.965221e-01	9.723178e-01	7.820437e-01	
1.082637e-10	7.441048e-01	7.320776e-01	6.407993e-01	
7.278954e-11	5.349561e-01	5.282180e-01	4.845372e-01	
4.893901e-11	3.735022e-01	3.693193e-01	3.471475e-01	
3.290345e-11	2.560076e-01	2.532764e-01	2.409412e-01	
2.212216e-11	1.737264e-01	1.719094e-01	1.644643e-01	
1.487352e-11	1.173078e-01	1.160912e-01	1.113535e-01	
1.000000e-11	7.902643e-02	7.820980e-02	7.510749e-02	
